scenario,seed,stage,stage_id,stage_order,rate_multiplier,avg_e2e_ms,p95_ms,p99_ms,delta_avg_vs_prev_pct,delta_avg_vs_g0_pct,delta_p95_vs_prev_pct,delta_p95_vs_g0_pct,delta_p99_vs_prev_pct,delta_p99_vs_g0_pct,dual_objective_delta_vs_g0_pct,p99_constraint_ok
low,42,g0_base,G0,0,5e-05,3269.6143790849674,5481.600000000001,6335.879999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
low,42,g1_context,G1,1,5e-05,2425.640522875817,3783.8,4048.9599999999987,-25.812642053689043,-25.812642053689043,-30.97270869819032,-30.97270869819032,-36.09474926924118,-36.09474926924118,-28.39267537593968,1
low,42,g2_context_phase_drift,G2,2,5e-05,2103.529411764706,3188.6000000000004,3330.04,-13.279424880699937,-35.66429652314538,-15.730218299064427,-41.830852305896094,-17.755670591954452,-47.441555079957276,-38.74757441452074,1
low,43,g0_base,G0,0,5e-05,2934.0123456790125,5131.699999999998,7338.9099999999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
low,43,g1_context,G1,1,5e-05,2242.9074074074074,3679.9999999999995,4189.449999999998,-23.554943089772994,-23.554943089772994,-28.28887113432194,-28.28887113432194,-42.91454725565511,-42.91454725565511,-25.921907112047467,1
low,43,g2_context_phase_drift,G2,2,5e-05,1906.8271604938273,2946.0499999999997,3758.2599999999966,-14.984133798998759,-35.00957269992215,-19.944293478260867,-42.591149131866615,-10.292281803100686,-48.78994292067896,-38.80036091589439,1
mid,42,g0_base,G0,0,0.0001,2964.565916398714,4870.0,5707.599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mid,42,g1_context,G1,1,0.0001,2367.4469453376205,3612.0,4262.499999999998,-20.141868587171093,-20.141868587171093,-25.831622176591374,-25.831622176591374,-25.318873081505362,-25.318873081505362,-22.986745381881235,1
mid,42,g2_context_phase_drift,G2,2,0.0001,2024.491961414791,3128.5,3944.3999999999996,-14.486279601671113,-31.710340788303437,-13.385935769656701,-35.75975359342915,-7.462756598240439,-30.892143808255636,-33.7350471908663,1
mid,43,g0_base,G0,0,0.0001,2688.8680981595094,4736.75,6640.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mid,43,g1_context,G1,1,0.0001,2217.0674846625766,3674.75,4727.25,-17.546439478376545,-17.546439478376545,-22.420435952921306,-22.420435952921306,-28.814516432631855,-28.814516432631855,-19.983437715648925,1
mid,43,g2_context_phase_drift,G2,2,0.0001,1876.346625766871,2971.75,3991.75,-15.36808695507801,-30.21797435689751,-19.13055309885026,-37.26183564680424,-15.558728647733883,-39.89007265745586,-33.73990500185088,1
high,42,g0_base,G0,0,0.0002,2097.0505529225907,4705.0,5949.079999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
high,42,g1_context,G1,1,0.0002,1733.2796208530806,3632.2,4281.319999999996,-17.34678887748006,-17.34678887748006,-22.801275239107337,-22.801275239107337,-28.033914487618244,-28.033914487618244,-20.074032058293696,1
high,42,g2_context_phase_drift,G2,2,0.0002,1544.9794628751974,3127.6,4015.5999999999954,-10.863807299898104,-26.326074461008574,-13.892406805792632,-33.52603613177471,-6.206497061653905,-32.50048747033155,-29.92605529639164,1
high,43,g0_base,G0,0,0.0002,2055.0587349397592,4683.35,5580.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
high,43,g1_context,G1,1,0.0002,1819.9563253012047,3697.05,4547.930000000001,-11.440179574499904,-11.440179574499904,-21.059711531275692,-21.059711531275692,-18.50391090483911,-18.50391090483911,-16.249945552887798,1
high,43,g2_context_phase_drift,G2,2,0.0002,1518.9683734939758,3008.300000000001,3897.74,-16.538196418390154,-26.086376624242714,-18.629718288905995,-35.76606488944877,-14.296394183727571,-30.154913046205127,-30.926220756845744,1
