label,hpwp_forget_gamma,hpwp_beta_hi,hpwp_beta_lo,hpwp_alpha_exp,hpwp_alpha_stable,hpwp_lmax_low,hpwp_lmax_high,hpwp_sched_eta_exec,hpwp_horizon_alpha,hpwp_phase_window_k,hpwp_phase_n_min,hpwp_phase_var_threshold,hpwp_drift_short_k,hpwp_drift_long_k,hpwp_drift_delta_mr,hpwp_drift_tau_mr,hpwp_drift_branch_tau,avg_e2e_ms_mean,p95_ms_mean,p99_ms_mean,cold_start_share_mean,curation_tier,curation_rank
hpwp_01,0.9,40.0,8.0,0.8,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2491.165300457305,5017.599999999998,6812.106666666671,0.522118772640413,best,7
hpwp_02,0.75,24.0,4.8,0.6,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2536.1840076195544,4975.799999999998,6635.686666666669,0.5262597440636969,mid,4
hpwp_03,0.96,72.0,12.8,0.92,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2503.120619472622,5048.166666666664,6948.913333333335,0.5225655402598758,mid,10
hpwp_04,0.87,40.0,11.2,0.7,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2499.356206559524,4962.133333333332,6155.840000000001,0.5258441372037365,near,1
hpwp_05,0.9,50.0,9.6,0.92,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2533.641089629527,4970.966666666666,6422.546666666673,0.5288646517936745,near,2
hpwp_06,0.96,40.0,6.4,0.8,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2542.531798044239,5080.999999999999,6894.406666666665,0.5311094539727708,far,12
hpwp_07,0.9,24.0,6.4,0.6,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2523.050072979341,5019.9333333333325,6856.526666666679,0.5259676084403905,mid,8
hpwp_08,0.96,32.0,8.0,0.6,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2538.429797555753,5001.333333333331,6997.793333333339,0.5260200280829146,near,5
hpwp_09,0.9,72.0,9.6,0.8,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2512.3286228653874,5014.566666666666,6604.566666666673,0.526562733407202,near,6
hpwp_10,0.9,32.0,6.4,0.8,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2504.602155927305,5034.066666666666,6893.840000000004,0.5252847290854225,far,9
hpwp_11,0.87,32.0,6.4,0.6,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2560.1414464515105,5057.133333333331,6979.253333333337,0.5327167205155322,far,11
hpwp_12,0.93,50.0,6.4,0.848,0.1,2.0,4.0,0.4,2.2,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,2496.1607137293363,4973.466666666664,6754.093333333334,0.5247300242040116,mid,3
