scenario,strategy,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_step_rate_mean,cold_start_step_rate_std,prewarm_utilization_mean,prewarm_utilization_std,prewarm_cost_mean,prewarm_cost_std,memory_time_cost_mean,memory_time_cost_std,ctre95_mean,ctre95_std
low,hpwp,15,0.5,2431.0941046149605,954.7721462024456,4913.556666666666,1582.638849907993,6166.468666666666,2813.662865318004,1.0,0.0,0.44075836790949363,0.06709527119828956,0.6671059055221932,0.028246426934396118,589.6666666666666,114.66825857145265,52759112.06666667,10876634.473459259,1.0,0.0
low,xanadu,15,0.5,3026.222039925408,1161.0757860085716,6659.809999999998,1666.9272685521858,9424.509333333333,5735.852000763601,1.0,0.0,0.5907799886166412,0.0652163749983643,0.370619768105632,0.05453534779263291,293.73333333333335,80.62564876077114,52008750.733333334,10542696.8882934,-1.7655431155428778,0.0
low,kraken_vomm,15,0.5,2690.9909579780733,1079.4206436614395,5582.286666666666,1606.3891112041433,7447.704000000002,3666.8769379576574,1.0,0.0,0.5057933273085771,0.05579448473329422,0.3328313346523519,0.03412363354158599,1191.8666666666666,269.4528494843543,72051882.6,18748387.53866342,-3.3278662139502244,0.0
low,lass,15,0.5,3488.6116569115716,1566.3745035279028,8713.859999999995,6297.541207322784,11203.654,8353.638095033633,1.0,0.0,0.7023089260271875,0.02540879971570842,0.15039458432215097,0.01548944292580732,1675.8,170.39416489003204,78252355.53333333,13925641.282051926,-0.539195570534568,0.0
low,rl_q,15,0.5,2816.5038268038325,1234.7956019947103,6360.483333333333,1958.8555052875233,9474.32266666667,6314.303903474654,1.0,0.0,0.5440879018227268,0.05233318979932046,0.12521746383173038,0.01773884169847005,1958.6,169.08062320342074,96753107.93333334,16432091.948509132,-1.145382524678568,0.0
low,hptd,15,0.5,3016.597967854115,1274.190094238188,6712.736666666664,1790.3762799305857,9788.63,6424.323673354927,1.0,0.0,0.5882593683238995,0.05321657505850666,0.16338103953109992,0.018349549905382706,1527.5333333333333,363.3988101770495,86846777.33333333,20377753.95287295,-1.0262039349544605,0.0
low,hist,15,0.5,2693.010166997137,1134.9440425797447,6713.599999999997,1764.7388429817524,9499.447999999999,6230.016536617814,0.9945676666666666,0.004115053231154865,0.5104772251221614,0.05507877415305346,0.1438687891237206,0.020831867031059704,2080.4,84.40362212945264,99763180.4,14497025.227710983,-0.8929121898035458,0.0
low,kpa,15,0.5,2627.025924552562,1019.1568275320939,6278.156666666665,2122.4528965719496,8581.685333333337,4287.815338016163,1.0,0.0,0.512136912922512,0.06896737891912534,0.16853520410621897,0.021587996706804963,2738.4,821.016686797534,105117661.4,40770793.4033787,-1.1178433319658203,0.0
low,oracle,15,0.5,765.6242463426714,818.7356467614403,1874.32,2628.8466072051992,2124.9260000000004,2725.1904774471404,1.0,0.0,0.0,0.0,0.9534812961318753,0.04045017008167493,2038.7333333333333,285.9061950727063,3461203.466666667,1523630.8019620138,15.242996424447131,0.0
low,depth_breadth,3,0.5,3391.581748409764,234.82094261347552,5750.183333333333,280.29133206956897,7492.999999999997,1571.3800583881687,1.0,0.0,0.35920575039255676,0.010826094244988819,0.25330022260937474,0.007494582220947357,1738.3333333333333,65.30951946947194,78622668.0,5755135.408683187,-2.4377126864546876,0.0
mid,hpwp,15,1.0,1835.4097669032815,925.3071418729714,4427.263333333333,1764.4285391620497,5438.445999999999,1811.2175298195725,1.0,0.0,0.28022079483688017,0.04414047976725032,0.6551755387050003,0.031689442840637044,574.9333333333333,116.42254731713065,77087923.13333334,12989441.08692546,1.0,0.0
mid,xanadu,15,1.0,2107.997966612227,1019.2317392801642,5516.443333333333,1531.0557237534154,7218.906666666668,2300.283006894921,1.0,0.0,0.3512611179503045,0.045088215632802534,0.3995714584750741,0.047871650339474034,307.2,93.36961879693905,76396429.73333333,13374570.403756293,-2.3457046209405403,0.0
mid,kraken_vomm,15,1.0,1974.4595431057664,1002.2391984544723,4896.383333333331,1654.923655842368,6342.808666666665,2029.309231712206,1.0,0.0,0.3158274322815393,0.0374422530656174,0.4083554281955714,0.05587858940935835,1372.2666666666667,303.97238283075905,103897363.06666666,23811816.76823994,-4.004585500420745,0.0
mid,lass,15,1.0,2247.7652162051186,1098.989684144591,5785.053333333332,1765.9578407104366,7553.917333333332,2651.5946564539677,1.0,0.0,0.3926793263292854,0.04602701940719492,0.3139210789945005,0.03558030894296161,2406.0,174.3305562921855,121468890.06666666,19420776.08105982,-1.183445807628637,0.0
mid,rl_q,15,1.0,1967.9083277236832,1043.4731049951772,5257.206666666665,1739.4430759858851,6944.567999999999,2233.05887335607,1.0,0.0,0.3184657793179882,0.03347434492689748,0.18219058091143225,0.020805625918610505,2243.866666666667,251.51224527606905,128408419.06666666,21168311.396900594,-1.8314881143050241,0.0
mid,hptd,15,1.0,2067.8609680662676,1054.8432076690294,5538.863333333332,1609.8830563636195,7323.547999999999,2422.7405528603917,0.9997714,0.0006407794137945294,0.34620576232583766,0.042484560936730226,0.22547792665542712,0.012763441967246787,2852.4,284.65563154701255,147083845.6,23348657.53094669,-1.1938026265081445,0.0
mid,hist,15,1.0,1935.7366873571775,1035.290579952574,5404.953333333332,1668.758924584661,7113.006666666662,1929.6522384715036,0.9926218666666667,0.004687123118055412,0.31261122392224905,0.03864180329009807,0.19169984588902864,0.02390044809408352,2021.6,39.987140790151884,121495969.33333333,16973830.19079721,-1.6431719057339926,0.0
mid,kpa,15,1.0,1916.3490721098135,817.9647570858051,4976.576666666666,1585.9645987612105,7473.566666666663,3217.5700600534456,0.9969438,0.005990746414262575,0.3302929623311962,0.07415090214177313,0.20919730081716248,0.02508493100532775,3314.4666666666667,1274.9196538643225,141811293.53333333,60447408.1855096,-2.505619298046331,0.0
mid,oracle,15,1.0,763.784296946389,820.5292807280855,1895.2866666666666,2648.053784821888,2083.6273333333343,2701.0004390819627,1.0,0.0,0.0,0.0,0.9550480022924901,0.03784157988083924,4041.5333333333333,550.4417533304717,6971875.733333333,2869620.940609988,11.056984674124013,0.0
mid,depth_breadth,3,1.0,2876.9930976380947,180.2914849483904,5307.5999999999985,383.48778337777605,6685.233333333344,465.52740943296135,1.0,0.0,0.2600491322580143,0.007083725991687469,0.27960525035596,0.009223750102692873,2258.3333333333335,132.66624790553675,112441159.33333333,9449250.585915495,-1.9718412095797577,0.0
