scenario,strategy,runs,rate_multiplier,value_mean,value_std
low,hpwp,15,0.50000000,0.440758,0.067095
low,xanadu,15,0.50000000,0.590780,0.065216
low,kraken_vomm,15,0.50000000,0.505793,0.055794
low,lass,15,0.50000000,0.702309,0.025409
low,rl_q,15,0.50000000,0.544088,0.052333
low,hptd,15,0.50000000,0.588259,0.053217
low,hist,15,0.50000000,0.510477,0.055079
low,kpa,15,0.50000000,0.512137,0.068967
low,depth_breadth,3,0.50000000,0.359206,0.010826
mid,hpwp,15,1.00000000,0.280221,0.044140
mid,xanadu,15,1.00000000,0.351261,0.045088
mid,kraken_vomm,15,1.00000000,0.315827,0.037442
mid,lass,15,1.00000000,0.392679,0.046027
mid,rl_q,15,1.00000000,0.318466,0.033474
mid,hptd,15,1.00000000,0.346206,0.042485
mid,hist,15,1.00000000,0.312611,0.038642
mid,kpa,15,1.00000000,0.330293,0.074151
mid,depth_breadth,3,1.00000000,0.260049,0.007084
high,hpwp,15,2.00000000,0.169771,0.022758
high,xanadu,15,2.00000000,0.203421,0.026713
high,kraken_vomm,15,2.00000000,0.187764,0.023912
high,lass,15,2.00000000,0.225258,0.033716
high,rl_q,15,2.00000000,0.184218,0.022258
high,hptd,15,2.00000000,0.190980,0.026067
high,hist,15,2.00000000,0.184633,0.024260
high,kpa,15,2.00000000,0.202673,0.065022
high,depth_breadth,3,2.00000000,0.156930,0.011772
