scenario,strategy,runs,rate_multiplier,value_mean,value_std
low,hpwp,15,0.50000000,1.000000,0.000000
low,xanadu,15,0.50000000,-1.765543,0.000000
low,kraken_vomm,15,0.50000000,-3.327866,0.000000
low,lass,15,0.50000000,-0.539196,0.000000
low,rl_q,15,0.50000000,-1.145383,0.000000
low,hptd,15,0.50000000,-1.026204,0.000000
low,hist,15,0.50000000,-0.892912,0.000000
low,kpa,15,0.50000000,-1.117843,0.000000
low,oracle,15,0.50000000,15.242996,0.000000
low,depth_breadth,3,0.50000000,-2.437713,0.000000
mid,hpwp,15,1.00000000,1.000000,0.000000
mid,xanadu,15,1.00000000,-2.345705,0.000000
mid,kraken_vomm,15,1.00000000,-4.004586,0.000000
mid,lass,15,1.00000000,-1.183446,0.000000
mid,rl_q,15,1.00000000,-1.831488,0.000000
mid,hptd,15,1.00000000,-1.193803,0.000000
mid,hist,15,1.00000000,-1.643172,0.000000
mid,kpa,15,1.00000000,-2.505619,0.000000
mid,oracle,15,1.00000000,11.056985,0.000000
mid,depth_breadth,3,1.00000000,-1.971841,0.000000
high,hpwp,15,2.00000000,1.000000,0.000000
high,xanadu,15,2.00000000,-4.232969,0.000000
high,kraken_vomm,15,2.00000000,-5.379325,0.000000
high,lass,15,2.00000000,-1.683999,0.000000
high,rl_q,15,2.00000000,-4.016851,0.000000
high,hptd,15,2.00000000,-1.981394,0.000000
high,hist,15,2.00000000,-3.556172,0.000000
high,kpa,15,2.00000000,-11.869522,0.000000
high,oracle,15,2.00000000,8.040047,0.000000
high,depth_breadth,3,2.00000000,-1.804293,0.000000
