scenario,strategy,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std
low,hpwp,15,0.50000000,2431.094105,954.772146,4913.556667,1582.638850,6166.468667,2813.662865
low,xanadu,15,0.50000000,3026.222040,1161.075786,6659.810000,1666.927269,9424.509333,5735.852001
low,kraken_vomm,15,0.50000000,2690.990958,1079.420644,5582.286667,1606.389111,7447.704000,3666.876938
low,lass,15,0.50000000,3488.611657,1566.374504,8713.860000,6297.541207,11203.654000,8353.638095
low,rl_q,15,0.50000000,2816.503827,1234.795602,6360.483333,1958.855505,9474.322667,6314.303903
low,hptd,15,0.50000000,3016.597968,1274.190094,6712.736667,1790.376280,9788.630000,6424.323673
low,hist,15,0.50000000,2693.010167,1134.944043,6713.600000,1764.738843,9499.448000,6230.016537
low,kpa,15,0.50000000,2627.025925,1019.156828,6278.156667,2122.452897,8581.685333,4287.815338
low,depth_breadth,3,0.50000000,3391.581748,234.820943,5750.183333,280.291332,7493.000000,1571.380058
mid,hpwp,15,1.00000000,1835.409767,925.307142,4427.263333,1764.428539,5438.446000,1811.217530
mid,xanadu,15,1.00000000,2107.997967,1019.231739,5516.443333,1531.055724,7218.906667,2300.283007
mid,kraken_vomm,15,1.00000000,1974.459543,1002.239198,4896.383333,1654.923656,6342.808667,2029.309232
mid,lass,15,1.00000000,2247.765216,1098.989684,5785.053333,1765.957841,7553.917333,2651.594656
mid,rl_q,15,1.00000000,1967.908328,1043.473105,5257.206667,1739.443076,6944.568000,2233.058873
mid,hptd,15,1.00000000,2067.860968,1054.843208,5538.863333,1609.883056,7323.548000,2422.740553
mid,hist,15,1.00000000,1935.736687,1035.290580,5404.953333,1668.758925,7113.006667,1929.652238
mid,kpa,15,1.00000000,1916.349072,817.964757,4976.576667,1585.964599,7473.566667,3217.570060
mid,depth_breadth,3,1.00000000,2876.993098,180.291485,5307.600000,383.487783,6685.233333,465.527409
high,hpwp,15,2.00000000,1416.025977,915.379563,4049.586667,1879.960347,5192.640000,1923.385648
high,xanadu,15,2.00000000,1547.664563,975.973551,4563.466667,1782.735248,6599.125333,2202.233805
high,kraken_vomm,15,2.00000000,1489.347238,959.590923,4351.920000,1861.747653,5803.360000,1962.855889
high,lass,15,2.00000000,1626.088978,1025.144888,4835.660000,1851.903759,6898.328667,2561.439909
high,rl_q,15,2.00000000,1465.836370,970.661377,4384.410000,1887.462637,6385.464000,2468.551081
high,hptd,15,2.00000000,1492.355602,980.484889,4565.353333,1871.070602,6467.538667,1886.247602
high,hist,15,2.00000000,1465.996498,976.347383,4483.943333,1858.012483,6421.445333,1962.542958
high,kpa,15,2.00000000,1436.598878,707.518859,4140.196667,1789.545160,6086.466667,1889.993770
high,depth_breadth,3,2.00000000,2385.577089,87.417439,4941.033333,318.625491,6585.850000,485.493231
