scenario,strategy,runs,rate_multiplier,value_mean,value_std
low,hpwp,3,0.50000000,39495627.000000,2905518.532125
low,xanadu,3,0.50000000,38454505.666667,3029397.465571
low,kraken_vomm,3,0.50000000,54118598.666667,3192268.160463
low,lass,3,0.50000000,55063870.333333,3610761.532639
low,rl_q,3,0.50000000,71180118.000000,8553162.472671
low,hptd,3,0.50000000,64999762.666667,7360636.278925
low,kpa,3,0.50000000,99448157.333333,9669697.122905
low,depth_breadth,3,0.50000000,75238843.333333,4708734.820152
low,oracle,3,0.50000000,2766124.000000,148491.171131
mid,hpwp,3,1.00000000,56562644.333333,3934540.772300
mid,xanadu,3,1.00000000,57390817.333333,5872968.027659
mid,kraken_vomm,3,1.00000000,79276122.666667,4478089.283284
mid,lass,3,1.00000000,85097193.000000,4363564.751806
mid,rl_q,3,1.00000000,101315333.333333,3029996.203255
mid,hptd,3,1.00000000,107803984.000000,11693776.190889
mid,kpa,3,1.00000000,127598689.000000,11077921.516306
mid,depth_breadth,3,1.00000000,109041888.000000,10888892.797735
mid,oracle,3,1.00000000,5303653.333333,370859.313185
high,hpwp,3,2.00000000,80652310.666667,6022678.098276
high,xanadu,3,2.00000000,79539100.000000,7190222.743581
high,kraken_vomm,3,2.00000000,106268306.666667,6931019.623675
high,lass,3,2.00000000,130777888.333333,10296317.193827
high,rl_q,3,2.00000000,133707390.000000,11252302.747459
high,hptd,3,2.00000000,168521032.000000,16842963.137156
high,kpa,3,2.00000000,194824870.333333,12372506.108240
high,depth_breadth,3,2.00000000,133864605.000000,12930177.283804
high,oracle,3,2.00000000,9952494.333333,617915.594484
