scenario,strategy,runs,rate_multiplier,value_mean,value_std
low,hpwp,15,0.50000000,0.667106,0.028246
low,xanadu,15,0.50000000,0.370620,0.054535
low,kraken_vomm,15,0.50000000,0.332831,0.034124
low,lass,15,0.50000000,0.150395,0.015489
low,rl_q,15,0.50000000,0.125217,0.017739
low,hptd,15,0.50000000,0.163381,0.018350
low,hist,15,0.50000000,0.143869,0.020832
low,kpa,15,0.50000000,0.168535,0.021588
low,depth_breadth,3,0.50000000,0.253300,0.007495
mid,hpwp,15,1.00000000,0.655176,0.031689
mid,xanadu,15,1.00000000,0.399571,0.047872
mid,kraken_vomm,15,1.00000000,0.408355,0.055879
mid,lass,15,1.00000000,0.313921,0.035580
mid,rl_q,15,1.00000000,0.182191,0.020806
mid,hptd,15,1.00000000,0.225478,0.012763
mid,hist,15,1.00000000,0.191700,0.023900
mid,kpa,15,1.00000000,0.209197,0.025085
mid,depth_breadth,3,1.00000000,0.279605,0.009224
high,hpwp,15,2.00000000,0.663329,0.037269
high,xanadu,15,2.00000000,0.418885,0.048578
high,kraken_vomm,15,2.00000000,0.470532,0.068107
high,lass,15,2.00000000,0.397487,0.032536
high,rl_q,15,2.00000000,0.250532,0.022752
high,hptd,15,2.00000000,0.301370,0.018784
high,hist,15,2.00000000,0.242175,0.041725
high,kpa,15,2.00000000,0.231298,0.029059
high,depth_breadth,3,2.00000000,0.342892,0.014900
