scenario,strategy,runs,rate_multiplier,value_mean,value_std
low,hpwp,3,0.50000000,446.666667,29.771351
low,xanadu,3,0.50000000,230.000000,32.186954
low,kraken_vomm,3,0.50000000,853.666667,5.507571
low,lass,3,0.50000000,1005.333333,17.097758
low,rl_q,3,0.50000000,1214.666667,146.097000
low,hptd,3,0.50000000,1049.666667,84.387993
low,kpa,3,0.50000000,2446.000000,195.414943
low,depth_breadth,3,0.50000000,1636.000000,59.573484
low,oracle,3,0.50000000,1241.666667,32.624122
mid,hpwp,3,1.00000000,462.000000,54.836119
mid,xanadu,3,1.00000000,260.666667,36.855574
mid,kraken_vomm,3,1.00000000,1049.666667,13.203535
mid,lass,3,1.00000000,1479.666667,12.342339
mid,rl_q,3,1.00000000,1617.000000,72.958893
mid,hptd,3,1.00000000,1783.000000,85.281886
mid,kpa,3,1.00000000,2920.333333,195.454172
mid,depth_breadth,3,1.00000000,2149.333333,170.015686
mid,oracle,3,1.00000000,2405.666667,16.258331
high,hpwp,3,2.00000000,500.666667,74.446849
high,xanadu,3,2.00000000,272.000000,36.510273
high,kraken_vomm,3,2.00000000,1089.666667,54.049360
high,lass,3,2.00000000,2074.666667,69.176104
high,rl_q,3,2.00000000,1866.666667,244.622839
high,hptd,3,2.00000000,2894.000000,144.180443
high,kpa,3,2.00000000,4427.333333,251.309238
high,depth_breadth,3,2.00000000,2141.666667,225.752815
high,oracle,3,2.00000000,4599.666667,19.604421
