scenario,strategy,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_step_rate_mean,cold_start_step_rate_std,prewarm_utilization_mean,prewarm_utilization_std,prewarm_cost_mean,prewarm_cost_std
low,hpwp,3,0.5,6221.2344158681235,397.3073491504526,12804.249999999995,611.2219952684892,15162.769999999999,342.3448344871026,1.0,0.0,0.6198404017993957,0.027444904426963037,0.6338003429463382,0.05466865006302138,102.66666666666667,17.21433511156714
low,kpa,3,0.5,5498.37041617994,94.71595316759173,12583.266666666665,1323.8712789895148,14975.213333333331,871.1281656182013,0.9095946666666667,0.02839876712699569,0.585857401366178,0.02397769441652838,0.17936215629459695,0.008084941255148742,470.0,6.244997998398398
low,xanadu,3,0.5,6886.326481511002,451.10930267017415,13574.833333333334,654.8188782658406,20293.9999999999,6795.660127669552,1.0,0.0,0.7031613546443461,0.030333677682171788,0.3178418803418803,0.013629648314287455,13.666666666666666,2.0816659994661326
low,hist,3,0.5,6855.483604040834,392.882380503175,14281.416666666664,1437.0858467166606,22179.28333333321,4101.221221298803,1.0,0.0,0.6989859699617526,0.03149598520675438,0.2222222222222222,0.38490017945975047,1.6666666666666667,1.1547005383792515
low,no_as,3,0.5,6977.755715264124,190.18256100758512,13988.516666666668,349.65766949022367,22218.759999999875,4021.570478718276,1.0,0.0,0.7076192139007534,0.03218789905111223,0.0,0.0,0.0,0.0
mid,hpwp,3,1.0,4512.690049496501,158.29328151110985,11930.566666666666,595.9225837584407,14021.610000000006,718.5582423854121,0.9745893333333333,0.01942007302595265,0.46022857670113887,0.014360654933136376,0.5742055487204468,0.032018282067904476,117.33333333333333,11.150485789118488
mid,kpa,3,1.0,4026.9468919138926,347.5260664986485,11117.016666666663,235.060057928464,13767.923333333332,1157.2673392234542,0.8114893333333333,0.033296381520119205,0.4465472905076713,0.038408175833839375,0.21991345657256212,0.025230217648111983,341.6666666666667,11.015141094572204
mid,xanadu,3,1.0,4824.581146759369,339.10059503365426,12193.299999999997,779.6832497880158,17165.55666666669,2087.923592336028,0.9918816666666667,0.007031291370248668,0.4977279630611755,0.028803299234219797,0.14814814814814814,0.1398117488013102,13.0,4.58257569495584
mid,hist,3,1.0,4798.238110599589,204.19983647116266,12150.866666666667,135.60329396195846,16934.289999999997,2896.1078400674237,0.9888296666666667,0.009813414815105554,0.4979457133074507,0.011398462545632506,0.18253968253968256,0.15853162186855696,26.0,21.93171219946131
mid,no_as,3,1.0,4923.680850735941,394.2822355091963,12512.883333333333,157.57217658372736,23292.06999999979,12728.733496255263,0.9918973333333333,0.00761276620771537,0.5077010219983814,0.02580485741009758,0.0,0.0,0.0,0.0
high,hpwp,3,2.0,2685.19786980907,88.46771661725742,8762.099999999999,121.67953813193044,12657.513333333321,561.3740878712921,0.746629,0.020602879143459575,0.31925537448278934,0.008549020488158613,0.49756272401433693,0.07701817601913542,64.33333333333333,9.71253485622231
high,kpa,3,2.0,2503.2896585087424,170.58778367484123,8433.06666666666,803.4001374367126,11866.379999999996,395.8001929004126,0.7016703333333334,0.0393487961865841,0.3103352701034434,0.013867547098565042,0.293531869135564,0.0572938785106465,138.66666666666666,10.503967504392486
high,xanadu,3,2.0,2831.9083225258364,82.70068779308217,9663.216666666665,222.59301613782333,12871.293333333333,673.2095009232515,0.7848533333333334,0.02757595251905784,0.32883637523783166,0.01490717088575506,0.4370629370629371,0.14361225718820175,12.0,1.0
high,hist,3,2.0,2452.248135218076,60.03427352426928,8170.116666666666,166.42315293652382,11938.949999999997,757.5168070082676,0.7119453333333333,0.023366357147260524,0.304209604502519,0.018478084764395497,0.27941947421170304,0.0452294122418275,122.66666666666667,15.821925715074425
high,no_as,3,2.0,2800.705554585757,161.68318753113275,9640.51666666666,620.3739403241657,12775.133333333331,430.0856776658932,0.7942713333333332,0.05531852031041079,0.32480251370566726,0.026386420272971528,0.0,0.0,0.0,0.0
