label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-174827_least_load_hpwp_v1,3216.155303030303,3173.0,5371.8,7283.71,1.0,0.6149093414520679,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-174832_least_load_hpwp_v1,2530.6608863198458,2313.0,5229.9,6387.700000000002,1.0,0.509520615373839,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-174836_least_load_hpwp_v1,2070.9697828139756,1584.0,4672.2,6473.920000000016,1.0,0.4002914520027522,ok
lmax_2_low,lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-174840_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
lmax_2_mid,lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-174844_least_load_hpwp_v1,2571.0809248554915,2304.0,5294.5,6567.6800000000085,1.0,0.5167982997487244,ok
lmax_2_high,lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-174848_least_load_hpwp_v1,2049.342776203966,1577.0,4567.5999999999985,6039.080000000005,1.0,0.39585550815710974,ok
lmax_3_low,lmax,$L_{max}$,hpwp_lmax_high,3.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-174852_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
lmax_3_mid,lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-174856_least_load_hpwp_v1,2548.73795761079,2317.0,5225.1,6621.440000000004,1.0,0.5160436802376785,ok
lmax_3_high,lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-174900_least_load_hpwp_v1,2040.3342776203965,1540.0,4693.4,7032.26,1.0,0.39569373827355214,ok
lmax_4_low,lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-174905_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
