parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,1,ok,3216.155303030303,0.0,5371.8,0.0,7283.71,0.0,1.0,0.0,0.6149093414520679,0.0
lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,1,ok,2530.6608863198458,0.0,5229.9,0.0,6387.700000000002,0.0,1.0,0.0,0.509520615373839,0.0
lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,1,ok,2070.9697828139756,0.0,4672.2,0.0,6473.920000000016,0.0,1.0,0.0,0.4002914520027522,0.0
lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,1,ok,2571.0809248554915,0.0,5294.5,0.0,6567.6800000000085,0.0,1.0,0.0,0.5167982997487244,0.0
lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,1,ok,2049.342776203966,0.0,4567.5999999999985,0.0,6039.080000000005,0.0,1.0,0.0,0.39585550815710974,0.0
lmax,$L_{max}$,hpwp_lmax_high,3.0,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,1,ok,2548.73795761079,0.0,5225.1,0.0,6621.440000000004,0.0,1.0,0.0,0.5160436802376785,0.0
lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,1,ok,2040.3342776203965,0.0,4693.4,0.0,7032.26,0.0,1.0,0.0,0.39569373827355214,0.0
lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
