parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
lmax,$L_{max}$,1.0,low,Low,avg_e2e_ms,Avg,3216.155303030303,0.0,1
lmax,$L_{max}$,1.0,low,Low,p95_ms,P95,5371.8,0.0,1
lmax,$L_{max}$,1.0,low,Low,p99_ms,P99,7283.71,0.0,1
lmax,$L_{max}$,1.0,mid,Medium,avg_e2e_ms,Avg,2530.6608863198458,0.0,1
lmax,$L_{max}$,1.0,mid,Medium,p95_ms,P95,5229.9,0.0,1
lmax,$L_{max}$,1.0,mid,Medium,p99_ms,P99,6387.700000000002,0.0,1
lmax,$L_{max}$,1.0,high,High,avg_e2e_ms,Avg,2070.9697828139756,0.0,1
lmax,$L_{max}$,1.0,high,High,p95_ms,P95,4672.2,0.0,1
lmax,$L_{max}$,1.0,high,High,p99_ms,P99,6473.920000000016,0.0,1
lmax,$L_{max}$,2.0,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
lmax,$L_{max}$,2.0,low,Low,p95_ms,P95,5536.1,0.0,1
lmax,$L_{max}$,2.0,low,Low,p99_ms,P99,6554.910000000002,0.0,1
lmax,$L_{max}$,2.0,mid,Medium,avg_e2e_ms,Avg,2571.0809248554915,0.0,1
lmax,$L_{max}$,2.0,mid,Medium,p95_ms,P95,5294.5,0.0,1
lmax,$L_{max}$,2.0,mid,Medium,p99_ms,P99,6567.6800000000085,0.0,1
lmax,$L_{max}$,2.0,high,High,avg_e2e_ms,Avg,2049.342776203966,0.0,1
lmax,$L_{max}$,2.0,high,High,p95_ms,P95,4567.5999999999985,0.0,1
lmax,$L_{max}$,2.0,high,High,p99_ms,P99,6039.080000000005,0.0,1
lmax,$L_{max}$,3.0,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
lmax,$L_{max}$,3.0,low,Low,p95_ms,P95,5536.1,0.0,1
lmax,$L_{max}$,3.0,low,Low,p99_ms,P99,6554.910000000002,0.0,1
lmax,$L_{max}$,3.0,mid,Medium,avg_e2e_ms,Avg,2548.73795761079,0.0,1
lmax,$L_{max}$,3.0,mid,Medium,p95_ms,P95,5225.1,0.0,1
lmax,$L_{max}$,3.0,mid,Medium,p99_ms,P99,6621.440000000004,0.0,1
lmax,$L_{max}$,3.0,high,High,avg_e2e_ms,Avg,2040.3342776203965,0.0,1
lmax,$L_{max}$,3.0,high,High,p95_ms,P95,4693.4,0.0,1
lmax,$L_{max}$,3.0,high,High,p99_ms,P99,7032.26,0.0,1
lmax,$L_{max}$,4.0,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
lmax,$L_{max}$,4.0,low,Low,p95_ms,P95,5536.1,0.0,1
lmax,$L_{max}$,4.0,low,Low,p99_ms,P99,6554.910000000002,0.0,1
lmax,$L_{max}$,4.0,mid,Medium,avg_e2e_ms,Avg,2574.9942196531792,0.0,1
lmax,$L_{max}$,4.0,mid,Medium,p95_ms,P95,5294.5,0.0,1
lmax,$L_{max}$,4.0,mid,Medium,p99_ms,P99,7120.600000000021,0.0,1
lmax,$L_{max}$,4.0,high,High,avg_e2e_ms,Avg,1993.204910292729,0.0,1
lmax,$L_{max}$,4.0,high,High,p95_ms,P95,4629.4,0.0,1
lmax,$L_{max}$,4.0,high,High,p99_ms,P99,6042.760000000002,0.0,1
lmax,$L_{max}$,5.0,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
lmax,$L_{max}$,5.0,low,Low,p95_ms,P95,5536.1,0.0,1
lmax,$L_{max}$,5.0,low,Low,p99_ms,P99,6554.910000000002,0.0,1
lmax,$L_{max}$,5.0,mid,Medium,avg_e2e_ms,Avg,2548.680154142582,0.0,1
lmax,$L_{max}$,5.0,mid,Medium,p95_ms,P95,5237.799999999999,0.0,1
lmax,$L_{max}$,5.0,mid,Medium,p99_ms,P99,7205.300000000053,0.0,1
lmax,$L_{max}$,5.0,high,High,avg_e2e_ms,Avg,2018.9745042492918,0.0,1
lmax,$L_{max}$,5.0,high,High,p95_ms,P95,4680.799999999999,0.0,1
lmax,$L_{max}$,5.0,high,High,p99_ms,P99,6176.720000000008,0.0,1
rho_mass,$\rho_{mass}$,0.6,low,Low,avg_e2e_ms,Avg,3289.003787878788,0.0,1
rho_mass,$\rho_{mass}$,0.6,low,Low,p95_ms,P95,5564.8,0.0,1
rho_mass,$\rho_{mass}$,0.6,low,Low,p99_ms,P99,7731.730000000008,0.0,1
rho_mass,$\rho_{mass}$,0.6,mid,Medium,avg_e2e_ms,Avg,2507.287090558767,0.0,1
rho_mass,$\rho_{mass}$,0.6,mid,Medium,p95_ms,P95,5249.3,0.0,1
