label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-163825_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-163828_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-163832_least_load_hpwp_v1,2975.6917562724016,3014.0,5632.899999999999,6651.279999999989,1.0,0.622337747435011,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-163836_least_load_hpwp_v1,2586.57225433526,2299.0,5286.5,7432.940000000003,1.0,0.5180765342874233,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-163840_least_load_hpwp_v1,2552.574585635359,2124.0,5085.499999999998,6872.080000000009,1.0,0.5299022833264072,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-163844_least_load_hpwp_v1,2319.6435100548447,2058.0,4554.199999999999,6454.17999999999,1.0,0.5126307783850668,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-163847_least_load_hpwp_v1,2077.9310670443815,1555.0,4682.5,6597.360000000001,1.0,0.4093642937675441,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-163851_least_load_hpwp_v1,2065.3456345634563,1512.0,4852.5,7457.400000000001,1.0,0.41216395544493833,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-163855_least_load_hpwp_v1,1919.8404634581104,1575.0,4496.400000000001,6583.329999999999,1.0,0.4189324257762431,ok
lmax_2_low,lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-163859_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
lmax_2_low,lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-163902_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
lmax_2_low,lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-163906_least_load_hpwp_v1,2978.4802867383514,2935.0,5780.499999999999,6863.359999999961,1.0,0.6169488180448522,ok
lmax_2_mid,lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-163909_least_load_hpwp_v1,2636.393063583815,2330.0,5328.9,7417.820000000022,1.0,0.5210131200449029,ok
lmax_2_mid,lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-163913_least_load_hpwp_v1,2628.5046040515654,2436.0,5267.199999999999,6688.340000000003,1.0,0.536644578000922,ok
lmax_2_mid,lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-163916_least_load_hpwp_v1,2371.3473491773307,2177.0,4585.5,6678.039999999999,1.0,0.5264133735555577,ok
lmax_2_high,lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-163920_least_load_hpwp_v1,2089.0103871576957,1563.0,4934.5,6319.960000000003,1.0,0.4095486881752704,ok
lmax_2_high,lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-163924_least_load_hpwp_v1,2036.8685868586858,1528.0,4739.5,6586.300000000007,1.0,0.4029985492458774,ok
lmax_2_high,lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-163927_least_load_hpwp_v1,1867.198752228164,1575.0,4423.75,5830.379999999999,1.0,0.4024015308852471,ok
lmax_3_low,lmax,$L_{max}$,hpwp_lmax_high,3.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-163931_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
