label,runs,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,hpwp_lmax_low,hpwp_lmax_high,hpwp_beta_hi,hpwp_beta_lo,hpwp_alpha_exp,hpwp_alpha_stable,hpwp_sched_eta_exec,hpwp_sched_min_sec,hpwp_sched_max_sec,hpwp_horizon_alpha,hpwp_urgency_epsilon_ms,hpwp_phase_window_k,hpwp_phase_n_min,hpwp_phase_var_threshold,hpwp_drift_short_k,hpwp_drift_long_k,hpwp_drift_delta_mr,hpwp_drift_tau_mr,hpwp_drift_branch_tau,hpwp_forget_gamma,hpwp_default_exec_ms,hpwp_default_cold_ms,hpwp_default_trans_ms,hpwp_seed_offset,status,curation_tier,curation_slot,curation_rank
hpwp_04,3,2499.356206559524,106.32028848559433,2272.3333333333335,94.78572325689842,4962.133333333332,423.9612757473667,6155.840000000001,543.01926190514,1.0,0.0,0.5258441372037365,0.00465337134189252,2.0,4.0,40.0,11.2,0.7,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.87,40.0,800.0,8.0,2027.0,ok,near,near,1
hpwp_05,3,2533.641089629527,158.78054825144366,2267.0,87.6184911990614,4970.966666666666,441.79385841513675,6422.546666666673,435.67964576434827,1.0,0.0,0.5288646517936745,0.0075999480433355145,2.0,4.0,50.0,9.6,0.92,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,ok,near,near,2
hpwp_12,3,2496.1607137293363,159.23782602777024,2206.6666666666665,104.1841318691735,4973.4666666666635,388.55985810854975,6754.093333333334,659.1255407988209,1.0,0.0,0.5247300242040116,0.00894455052883576,2.0,4.0,50.0,6.4,0.848,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.93,40.0,800.0,8.0,2027.0,ok,mid,mid,3
hpwp_02,3,2536.1840076195544,137.70832536226536,2374.6666666666665,53.612809414666316,4975.799999999998,323.0362054011929,6635.686666666669,681.7175172557512,1.0,0.0,0.5262597440636969,0.0011313761602926911,2.0,4.0,24.0,4.8,0.6,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.75,40.0,800.0,8.0,2027.0,ok,mid,mid,4
hpwp_08,3,2538.429797555753,93.14137564651466,2291.6666666666665,73.36438736426096,5001.333333333331,324.788397781286,6997.793333333339,665.4297018719195,1.0,0.0,0.5260200280829146,0.00578308032954533,2.0,4.0,32.0,8.0,0.6,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.96,40.0,800.0,8.0,2027.0,ok,near,near,5
hpwp_09,3,2512.3286228653874,165.43672558864668,2294.0,160.1030917877603,5014.566666666666,403.4404210454564,6604.566666666673,732.782918560028,1.0,0.0,0.526562733407202,0.0108616700012603,2.0,4.0,72.0,9.6,0.8,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,ok,near,near,6
hpwp_01,3,2491.165300457305,150.19963512105676,2224.3333333333335,105.65194429509252,5017.599999999998,310.51040240224313,6812.106666666671,250.51615383710526,1.0,0.0,0.522118772640413,0.014246104796341764,2.0,4.0,40.0,8.0,0.8,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,ok,best,best,7
hpwp_07,3,2523.050072979341,147.8903381953027,2228.6666666666665,91.27065976168537,5019.9333333333325,379.4975933169193,6856.526666666679,378.4876226950455,1.0,0.0,0.5259676084403905,0.0027789020395719236,2.0,4.0,24.0,6.4,0.6,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,ok,mid,mid,8
hpwp_10,3,2504.602155927305,176.36196235757504,2182.6666666666665,140.65679270242634,5034.066666666666,411.5631705259035,6893.840000000004,508.01740796947206,1.0,0.0,0.5252847290854225,0.013837056634111111,2.0,4.0,32.0,6.4,0.8,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,ok,far,far,9
hpwp_03,3,2503.120619472622,140.71788928775035,2272.6666666666665,90.78729720249046,5048.166666666664,344.9163570104157,6948.913333333335,476.7857520242543,1.0,0.0,0.5225655402598758,0.007683502815824964,2.0,4.0,72.0,12.8,0.92,0.1,0.4,1.0,15.0,2.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.96,40.0,800.0,8.0,2027.0,ok,mid,mid,10
