parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
lmax,$L_{max}$,1.0,low,Low,avg_e2e_ms,Avg,3163.355036456194,173.88066396318277,3
lmax,$L_{max}$,1.0,low,Low,p95_ms,P95,5688.466666666666,68.67853255081535,3
lmax,$L_{max}$,1.0,low,Low,p99_ms,P99,6938.469999999997,577.2623721497905,3
lmax,$L_{max}$,1.0,mid,Medium,avg_e2e_ms,Avg,2486.263450008488,145.29491960104392,3
lmax,$L_{max}$,1.0,mid,Medium,p95_ms,P95,4975.399999999999,378.36137487856803,3
lmax,$L_{max}$,1.0,mid,Medium,p99_ms,P99,6919.7333333333345,491.11700696813494,3
lmax,$L_{max}$,1.0,high,High,avg_e2e_ms,Avg,2021.0390550219827,87.8661736879817,3
lmax,$L_{max}$,1.0,high,High,p95_ms,P95,4677.133333333334,178.11064912950386,3
lmax,$L_{max}$,1.0,high,High,p99_ms,P99,6879.363333333334,500.6435870290698,3
lmax,$L_{max}$,2.0,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
lmax,$L_{max}$,2.0,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
lmax,$L_{max}$,2.0,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
lmax,$L_{max}$,2.0,mid,Medium,avg_e2e_ms,Avg,2545.4150056042367,150.7986031397991,3
lmax,$L_{max}$,2.0,mid,Medium,p95_ms,P95,5060.533333333333,412.546025715111,3
lmax,$L_{max}$,2.0,mid,Medium,p99_ms,P99,6928.066666666676,424.17009339808936,3
lmax,$L_{max}$,2.0,high,High,avg_e2e_ms,Avg,1997.6925754148485,115.97918025237854,3
lmax,$L_{max}$,2.0,high,High,p95_ms,P95,4699.25,257.7429678963133,3
lmax,$L_{max}$,2.0,high,High,p99_ms,P99,6245.546666666669,383.41461857020545,3
lmax,$L_{max}$,3.0,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
lmax,$L_{max}$,3.0,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
lmax,$L_{max}$,3.0,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
lmax,$L_{max}$,3.0,mid,Medium,avg_e2e_ms,Avg,2565.2399770374927,233.22139994879137,3
lmax,$L_{max}$,3.0,mid,Medium,p95_ms,P95,5111.933333333332,473.2149652465926,3
lmax,$L_{max}$,3.0,mid,Medium,p99_ms,P99,6837.106666666669,601.2622357452248,3
lmax,$L_{max}$,3.0,high,High,avg_e2e_ms,Avg,2001.0371515905128,98.77519268106106,3
lmax,$L_{max}$,3.0,high,High,p95_ms,P95,4651.916666666665,177.29694253802856,3
lmax,$L_{max}$,3.0,high,High,p99_ms,P99,6410.610000000001,508.33610642960065,3
lmax,$L_{max}$,4.0,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
lmax,$L_{max}$,4.0,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
lmax,$L_{max}$,4.0,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
lmax,$L_{max}$,4.0,mid,Medium,avg_e2e_ms,Avg,2530.0997532018314,180.53007069519157,3
lmax,$L_{max}$,4.0,mid,Medium,p95_ms,P95,5068.333333333333,333.0491605353987,3
lmax,$L_{max}$,4.0,mid,Medium,p99_ms,P99,6855.2466666666705,557.6795256536954,3
lmax,$L_{max}$,4.0,high,High,avg_e2e_ms,Avg,1980.142445614333,101.56509216670551,3
lmax,$L_{max}$,4.0,high,High,p95_ms,P95,4593.466666666666,310.6894000981246,3
lmax,$L_{max}$,4.0,high,High,p99_ms,P99,6501.646666666677,353.3481944673436,3
lmax,$L_{max}$,5.0,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
lmax,$L_{max}$,5.0,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
lmax,$L_{max}$,5.0,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
lmax,$L_{max}$,5.0,mid,Medium,avg_e2e_ms,Avg,2531.850627826157,181.41671697294063,3
lmax,$L_{max}$,5.0,mid,Medium,p95_ms,P95,4935.233333333333,433.82379295439034,3
lmax,$L_{max}$,5.0,mid,Medium,p99_ms,P99,6744.939999999999,754.7671312398347,3
lmax,$L_{max}$,5.0,high,High,avg_e2e_ms,Avg,2005.880804219399,84.98593691967902,3
lmax,$L_{max}$,5.0,high,High,p95_ms,P95,4635.883333333334,239.3978714051844,3
lmax,$L_{max}$,5.0,high,High,p99_ms,P99,6714.276666666675,359.154725756648,3
rho_mass,$\rho_{mass}$,0.3,low,Low,avg_e2e_ms,Avg,3162.838052686755,170.28359919125813,3
rho_mass,$\rho_{mass}$,0.3,low,Low,p95_ms,P95,5671.283333333332,250.514192878034,3
rho_mass,$\rho_{mass}$,0.3,low,Low,p99_ms,P99,7494.266666666662,98.52541516447461,3
rho_mass,$\rho_{mass}$,0.3,mid,Medium,avg_e2e_ms,Avg,2520.9873890442436,124.99358899693553,3
rho_mass,$\rho_{mass}$,0.3,mid,Medium,p95_ms,P95,4963.933333333333,402.12961011760143,3
rho_mass,$\rho_{mass}$,0.3,mid,Medium,p99_ms,P99,6546.773333333338,82.77200573462792,3
rho_mass,$\rho_{mass}$,0.3,high,High,avg_e2e_ms,Avg,1991.1484770956683,97.15551977182317,3
rho_mass,$\rho_{mass}$,0.3,high,High,p95_ms,P95,4598.033333333333,211.6466473472549,3
rho_mass,$\rho_{mass}$,0.3,high,High,p99_ms,P99,6288.826666666675,585.1203603818077,3
rho_mass,$\rho_{mass}$,0.4,low,Low,avg_e2e_ms,Avg,3137.128403010942,220.00641144157316,3
rho_mass,$\rho_{mass}$,0.4,low,Low,p95_ms,P95,5671.633333333332,77.03808041049093,3
rho_mass,$\rho_{mass}$,0.4,low,Low,p99_ms,P99,7194.889999999993,776.2516404491549,3
rho_mass,$\rho_{mass}$,0.4,mid,Medium,avg_e2e_ms,Avg,2546.2236943614384,118.508753592452,3
rho_mass,$\rho_{mass}$,0.4,mid,Medium,p95_ms,P95,5111.699999999998,339.68943168724076,3
rho_mass,$\rho_{mass}$,0.4,mid,Medium,p99_ms,P99,6570.126666666667,211.6285664397237,3
rho_mass,$\rho_{mass}$,0.4,high,High,avg_e2e_ms,Avg,1999.2997234234338,97.34895425759521,3
rho_mass,$\rho_{mass}$,0.4,high,High,p95_ms,P95,4671.966666666667,167.55632883700022,3
rho_mass,$\rho_{mass}$,0.4,high,High,p99_ms,P99,6824.356666666685,123.90986899087196,3
rho_mass,$\rho_{mass}$,0.5,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
rho_mass,$\rho_{mass}$,0.5,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
rho_mass,$\rho_{mass}$,0.5,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
rho_mass,$\rho_{mass}$,0.5,mid,Medium,avg_e2e_ms,Avg,2550.8489147004966,179.68875715974448,3
rho_mass,$\rho_{mass}$,0.5,mid,Medium,p95_ms,P95,5042.633333333332,340.8041128468579,3
rho_mass,$\rho_{mass}$,0.5,mid,Medium,p99_ms,P99,6677.12000000001,681.8532284883768,3
rho_mass,$\rho_{mass}$,0.5,high,High,avg_e2e_ms,Avg,1986.8312609381253,61.17522878990153,3
rho_mass,$\rho_{mass}$,0.5,high,High,p95_ms,P95,4646.833333333333,156.7495560865584,3
rho_mass,$\rho_{mass}$,0.5,high,High,p99_ms,P99,6520.5866666666725,110.43153414370029,3
rho_mass,$\rho_{mass}$,0.6,low,Low,avg_e2e_ms,Avg,3087.766002120315,192.84110583028,3
rho_mass,$\rho_{mass}$,0.6,low,Low,p95_ms,P95,5495.533333333332,76.89553519765461,3
rho_mass,$\rho_{mass}$,0.6,low,Low,p99_ms,P99,7159.199999999998,1152.9649090930745,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,avg_e2e_ms,Avg,2507.619375511222,174.57257323421547,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,p95_ms,P95,5052.066666666667,453.0401122785196,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,p99_ms,P99,6212.766666666671,349.6069486342295,3
rho_mass,$\rho_{mass}$,0.6,high,High,avg_e2e_ms,Avg,1979.4821203666777,108.86732712101708,3
rho_mass,$\rho_{mass}$,0.6,high,High,p95_ms,P95,4635.833333333335,219.49620345995163,3
rho_mass,$\rho_{mass}$,0.6,high,High,p99_ms,P99,6853.390000000022,326.32852265777717,3
rho_mass,$\rho_{mass}$,0.7,low,Low,avg_e2e_ms,Avg,3145.290534494076,172.69602793934473,3
rho_mass,$\rho_{mass}$,0.7,low,Low,p95_ms,P95,5704.716666666667,175.66613456592395,3
rho_mass,$\rho_{mass}$,0.7,low,Low,p99_ms,P99,7341.2,749.0494025763587,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,avg_e2e_ms,Avg,2480.2056207413866,182.07263436011345,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,p95_ms,P95,5023.333333333332,518.1227106905615,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,p99_ms,P99,6520.053333333336,133.44592063204016,3
rho_mass,$\rho_{mass}$,0.7,high,High,avg_e2e_ms,Avg,1989.2612830771495,75.93893230016981,3
rho_mass,$\rho_{mass}$,0.7,high,High,p95_ms,P95,4599.233333333334,147.9082260502548,3
rho_mass,$\rho_{mass}$,0.7,high,High,p99_ms,P99,6634.616666666675,135.8556521950167,3
tau_p,$\tau_p$,0.008,low,Low,avg_e2e_ms,Avg,3148.9643554526097,197.37671494670215,3
tau_p,$\tau_p$,0.008,low,Low,p95_ms,P95,5704.7,52.92643479396693,3
tau_p,$\tau_p$,0.008,low,Low,p99_ms,P99,7278.763333333328,622.4499797038525,3
tau_p,$\tau_p$,0.008,mid,Medium,avg_e2e_ms,Avg,2526.9269943149475,155.6906976718351,3
tau_p,$\tau_p$,0.008,mid,Medium,p95_ms,P95,4986.066666666666,417.16821946707927,3
tau_p,$\tau_p$,0.008,mid,Medium,p99_ms,P99,6897.126666666667,465.1122162804751,3
tau_p,$\tau_p$,0.008,high,High,avg_e2e_ms,Avg,1994.9879896671555,99.56064381634623,3
tau_p,$\tau_p$,0.008,high,High,p95_ms,P95,4597.049999999996,213.25531060209943,3
tau_p,$\tau_p$,0.008,high,High,p99_ms,P99,6712.500000000012,258.8193199898424,3
tau_p,$\tau_p$,0.012,low,Low,avg_e2e_ms,Avg,3148.9643554526097,197.37671494670215,3
tau_p,$\tau_p$,0.012,low,Low,p95_ms,P95,5704.7,52.92643479396693,3
tau_p,$\tau_p$,0.012,low,Low,p99_ms,P99,7278.763333333328,622.4499797038525,3
tau_p,$\tau_p$,0.012,mid,Medium,avg_e2e_ms,Avg,2505.528799767822,156.11858422178364,3
tau_p,$\tau_p$,0.012,mid,Medium,p95_ms,P95,4981.866666666666,399.8165120818969,3
tau_p,$\tau_p$,0.012,mid,Medium,p99_ms,P99,6996.140000000003,452.8731795988809,3
tau_p,$\tau_p$,0.012,high,High,avg_e2e_ms,Avg,1992.5578528524409,80.57821479912778,3
tau_p,$\tau_p$,0.012,high,High,p95_ms,P95,4588.233333333334,193.37410202333956,3
tau_p,$\tau_p$,0.012,high,High,p99_ms,P99,6403.283333333351,623.3687145128036,3
tau_p,$\tau_p$,0.016,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
tau_p,$\tau_p$,0.016,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
tau_p,$\tau_p$,0.016,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
tau_p,$\tau_p$,0.016,mid,Medium,avg_e2e_ms,Avg,2556.20631754504,131.66549585436093,3
tau_p,$\tau_p$,0.016,mid,Medium,p95_ms,P95,5109.499999999999,395.87821359605107,3
tau_p,$\tau_p$,0.016,mid,Medium,p99_ms,P99,6857.866666666661,564.6255645410889,3
tau_p,$\tau_p$,0.016,high,High,avg_e2e_ms,Avg,2006.3940768097807,134.52457014373024,3
tau_p,$\tau_p$,0.016,high,High,p95_ms,P95,4713.7666666666655,322.67770814441536,3
tau_p,$\tau_p$,0.016,high,High,p99_ms,P99,6816.293333333338,318.1331710673113,3
tau_p,$\tau_p$,0.02,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
tau_p,$\tau_p$,0.02,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
tau_p,$\tau_p$,0.02,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
tau_p,$\tau_p$,0.02,mid,Medium,avg_e2e_ms,Avg,2580.5194644606427,118.48416170326936,3
tau_p,$\tau_p$,0.02,mid,Medium,p95_ms,P95,5049.033333333333,461.9264479690832,3
tau_p,$\tau_p$,0.02,mid,Medium,p99_ms,P99,6948.62666666667,594.9646921736941,3
tau_p,$\tau_p$,0.02,high,High,avg_e2e_ms,Avg,1981.504021181988,134.53482946007102,3
tau_p,$\tau_p$,0.02,high,High,p95_ms,P95,4602.4333333333325,272.27145155769205,3
tau_p,$\tau_p$,0.02,high,High,p99_ms,P99,6487.953333333338,406.59379746049245,3
tau_p,$\tau_p$,0.032,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
tau_p,$\tau_p$,0.032,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
tau_p,$\tau_p$,0.032,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
tau_p,$\tau_p$,0.032,mid,Medium,avg_e2e_ms,Avg,2516.741661111017,162.46745340901558,3
tau_p,$\tau_p$,0.032,mid,Medium,p95_ms,P95,4998.966666666664,389.6493979635222,3
tau_p,$\tau_p$,0.032,mid,Medium,p99_ms,P99,6827.839999999994,549.4036843706191,3
tau_p,$\tau_p$,0.032,high,High,avg_e2e_ms,Avg,2002.614909324627,126.38416601011143,3
tau_p,$\tau_p$,0.032,high,High,p95_ms,P95,4643.233333333333,252.81503779113532,3
tau_p,$\tau_p$,0.032,high,High,p99_ms,P99,6919.023333333364,694.0678093914054,3
forget_gamma,$\gamma$,0.75,low,Low,avg_e2e_ms,Avg,3163.355036456194,173.88066396318277,3
forget_gamma,$\gamma$,0.75,low,Low,p95_ms,P95,5688.466666666666,68.67853255081535,3
forget_gamma,$\gamma$,0.75,low,Low,p99_ms,P99,6938.469999999997,577.2623721497905,3
