parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,scenario_count,runs
lmax,$L_{max}$,1.0,load_avg,Load Average,avg_e2e_ms,Avg,2790.0349531380666,662.7922609504034,3,9
lmax,$L_{max}$,1.0,load_avg,Load Average,p95_ms,P95,5946.4854027777665,728.1057897728332,3,9
lmax,$L_{max}$,1.0,load_avg,Load Average,p99_ms,P99,8899.459718888867,317.4543226166325,3,9
lmax,$L_{max}$,2.0,load_avg,Load Average,avg_e2e_ms,Avg,2660.1420214809664,639.2786790438115,3,9
lmax,$L_{max}$,2.0,load_avg,Load Average,p95_ms,P95,5512.314694444467,669.6925242310376,3,9
lmax,$L_{max}$,2.0,load_avg,Load Average,p99_ms,P99,7737.568213888866,225.55301503180527,3,9
lmax,$L_{max}$,3.0,load_avg,Load Average,avg_e2e_ms,Avg,2621.8006721578663,607.7461341612158,3,9
lmax,$L_{max}$,3.0,load_avg,Load Average,p95_ms,P95,5354.141102777766,602.7523087724641,3,9
lmax,$L_{max}$,3.0,load_avg,Load Average,p99_ms,P99,7483.8409873889,161.36216937822806,3,9
lmax,$L_{max}$,4.0,load_avg,Load Average,avg_e2e_ms,Avg,2551.316495497567,591.0205497226801,3,9
lmax,$L_{max}$,4.0,load_avg,Load Average,p95_ms,P95,5122.611111111133,560.8471353758306,3,9
lmax,$L_{max}$,4.0,load_avg,Load Average,p99_ms,P99,6893.988888888867,107.06410646239931,3,9
lmax,$L_{max}$,5.0,load_avg,Load Average,avg_e2e_ms,Avg,2609.2947123254667,605.3582190669093,3,9
lmax,$L_{max}$,5.0,load_avg,Load Average,p95_ms,P95,5342.9830861111,595.0421112841956,3,9
lmax,$L_{max}$,5.0,load_avg,Load Average,p99_ms,P99,7443.984112555533,157.1083470368302,3,9
rho_mass,$\rho_{mass}$,0.6,load_avg,Load Average,avg_e2e_ms,Avg,2859.2309607001666,655.3021043552056,3,9
rho_mass,$\rho_{mass}$,0.6,load_avg,Load Average,p95_ms,P95,6197.2154722222,682.2027432903445,3,9
rho_mass,$\rho_{mass}$,0.6,load_avg,Load Average,p99_ms,P99,9508.318354444433,185.819442934772,3,9
rho_mass,$\rho_{mass}$,0.7,load_avg,Load Average,avg_e2e_ms,Avg,2564.701016135849,603.5742579224741,3,9
rho_mass,$\rho_{mass}$,0.7,load_avg,Load Average,p95_ms,P95,5416.005901222201,618.6249279536293,3,9
rho_mass,$\rho_{mass}$,0.7,load_avg,Load Average,p99_ms,P99,7683.786625433335,135.08428160155597,3,9
rho_mass,$\rho_{mass}$,0.8,load_avg,Load Average,avg_e2e_ms,Avg,2426.72251163115,558.1176345092455,3,9
rho_mass,$\rho_{mass}$,0.8,load_avg,Load Average,p95_ms,P95,5083.695902500019,553.724152945791,3,9
rho_mass,$\rho_{mass}$,0.8,load_avg,Load Average,p99_ms,P99,6953.013094611092,125.18373809187527,3,9
rho_mass,$\rho_{mass}$,0.9,load_avg,Load Average,avg_e2e_ms,Avg,2263.7835110941164,529.1406405010716,3,9
rho_mass,$\rho_{mass}$,0.9,load_avg,Load Average,p95_ms,P95,4590.090317361091,512.0646829062906,3,9
rho_mass,$\rho_{mass}$,0.9,load_avg,Load Average,p99_ms,P99,5891.497388022203,88.92111048719109,3,9
rho_mass,$\rho_{mass}$,1.0,load_avg,Load Average,avg_e2e_ms,Avg,2159.318214098684,501.8278412557848,3,9
rho_mass,$\rho_{mass}$,1.0,load_avg,Load Average,p95_ms,P95,4275.415114833334,470.37076125203095,3,9
rho_mass,$\rho_{mass}$,1.0,load_avg,Load Average,p99_ms,P99,5220.282655620001,73.12847462322517,3,9
tau_p,$\tau_p$,0.02,load_avg,Load Average,avg_e2e_ms,Avg,2668.2367520853663,600.7972535054797,3,9
tau_p,$\tau_p$,0.02,load_avg,Load Average,p95_ms,P95,5575.2981666666665,561.1391218450676,3,9
tau_p,$\tau_p$,0.02,load_avg,Load Average,p99_ms,P99,7962.398808888866,142.6395598046391,3,9
tau_p,$\tau_p$,0.05,load_avg,Load Average,avg_e2e_ms,Avg,2577.0086127948334,597.2680571057524,3,9
tau_p,$\tau_p$,0.05,load_avg,Load Average,p95_ms,P95,5237.5353000000005,564.6152678343832,3,9
tau_p,$\tau_p$,0.05,load_avg,Load Average,p99_ms,P99,7118.246213333333,73.00266492332118,3,9
tau_p,$\tau_p$,0.1,load_avg,Load Average,avg_e2e_ms,Avg,2551.316495497567,591.0205497226801,3,9
tau_p,$\tau_p$,0.1,load_avg,Load Average,p95_ms,P95,5122.611111111133,560.8471353758306,3,9
tau_p,$\tau_p$,0.1,load_avg,Load Average,p99_ms,P99,6893.988888888867,107.06410646239931,3,9
tau_p,$\tau_p$,0.2,load_avg,Load Average,avg_e2e_ms,Avg,2683.499477400667,603.7533484830832,3,9
