label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,42,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/low/seed_42,3333.2280127159,3178.8988922072,6563.2745,8621.1840466666,1,0.6195020213419425,ok
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,43,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/low/seed_43,3500.6280127159,3363.6028922072,6768.4745,9355.5840466666,1,0.6111513646700777,ok
lmax_1_low,lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,44,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/low/seed_44,3605.2530127159,3479.0428922072,6896.7245,9814.5840466666,1,0.6022669777908671,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,42,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/mid/seed_42,2651.5370625213,2344.867985644,5559.0633333333,8239.3416,1,0.5037555284428855,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,43,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/mid/seed_43,2710.9370625213,2408.733985644,5722.4133333333,8615.5416,1,0.5353202532533163,ok
lmax_1_mid,lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,44,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/mid/seed_44,2835.1370625213,2542.271985644,6063.9633333333,9402.1416,1,0.5153680413687436,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,42,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/high/seed_42,2085.189784177,1628.2999294998,5122.443375,8220.55351,1,0.4022461295961967,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,43,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/high/seed_43,2184.639784177,1732.8654294998,5385.693375,8852.35351,1,0.3938708323525864,ok
lmax_1_high,lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,44,SYNTHETIC_TARGET_NOT_MEASURED/lmax/1.0/high/seed_44,2203.764784177,1752.9741794998,5436.318375,8973.85351,1,0.4023330039198627,ok
lmax_2_low,lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,42,SYNTHETIC_TARGET_NOT_MEASURED/lmax/2.0/low/seed_42,3192.4066226777,3049.7103577706,6078.9456666667,7424.6752833333,1,0.6195020213419425,ok
