parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,3,synthetic_target,3479.7030127159,137.214401121,6742.8245,168.1982981483,9263.7840466666,601.9728565309,1.0,0.0,0.6109734546009625,0.0086188990333096
lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,3,synthetic_target,2732.5370625213,93.6864984936,5781.8133333333,257.6378708575,8752.3416,593.3478237931,1.0,0.0,0.5181479410216485,0.0159649254508038
lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,3,synthetic_target,2157.864784177,63.6606874374,5314.818375,168.5135843931,8682.25351,404.4326025434,1.0,0.0,0.3994833219562153,0.0048607526629278
lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,3,synthetic_target,3320.2816226777,147.903222159,6235.6956666667,181.3007239368,7985.6752833333,648.8657488264,1.0,0.0,0.6109734546009625,0.0086188990333096
lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,3,synthetic_target,2616.1474027472,109.8458920488,5387.3266666667,302.0762031342,7682.1173333333,695.6906496425,1.0,0.0,0.5156391596082893,0.0103817119300894
lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,3,synthetic_target,2043.997039018,77.8075068679,4913.92175,205.9610475915,7544.912025,494.3065142197,1.0,0.0,0.4008260614337315,0.007415853511052
lmax,$L_{max}$,hpwp_lmax_high,3.0,low,Low,5e-05,3,synthetic_target,3253.898806637,105.7682793894,6016.1897,129.6514392516,7665.738671,464.0156773214,1.0,0.0,0.6115638591381702,0.0095098405138211
lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,3,synthetic_target,2569.7484323214,81.8851195273,5209.0713333333,225.1840787001,7357.9253866667,518.6057570062,1.0,0.0,0.5232117252146018,0.0094708663565233
lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,3,synthetic_target,2041.7547775152,68.5580197716,4837.162275,181.4771111601,7427.8589045,435.5450667841,1.0,0.0,0.3969308213099028,0.0070642649400683
lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,3,synthetic_target,3164.2845466115,128.9857065725,5737.6666666667,158.1115112824,7009.1633333333,565.8727772212,1.0,0.0,0.6109734546009625,0.0086188990333096
lmax,$L_{max}$,hpwp_lmax_high,4.0,mid,Medium,0.0001,3,synthetic_target,2504.6553258053,118.0338934374,4990.6666666667,324.5932069529,6797.4933333333,747.5479917704,1.0,0.0,0.5271516394650559,0.0045757838520116
lmax,$L_{max}$,hpwp_lmax_high,4.0,high,High,0.0002,3,synthetic_target,1985.0096140759,73.7347441848,4639.5,195.1802051951,6875.31,468.4324924682,1.0,0.0,0.3967308537347042,0.013326961374515
lmax,$L_{max}$,hpwp_lmax_high,5.0,low,Low,5e-05,3,synthetic_target,3238.4566676331,179.9033259142,5998.3211,220.5266575723,7615.5076353333,789.253300785,1.0,0.0,0.6115638591381702,0.0095098405138211
lmax,$L_{max}$,hpwp_lmax_high,5.0,mid,Medium,0.0001,3,synthetic_target,2558.484466344,122.8334091361,5194.1273333333,337.7918751243,7307.0579733333,777.9449245287,1.0,0.0,0.5183306106108408,0.0076547433643052
lmax,$L_{max}$,hpwp_lmax_high,5.0,high,High,0.0002,3,synthetic_target,2030.9430029993,83.4662346401,4836.500825,220.9400328709,7409.386729,530.2560788902,1.0,0.0,0.4042621467392535,0.0012222119629329
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,low,Low,5e-05,3,synthetic_target,3541.5344240057,121.01172722095968,6947.8233333333,148.33695594827327,9712.2788666666,530.8901581306624,1.0,0.0,0.6203775312215348,0.007913159687939979
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,mid,Medium,0.0001,3,synthetic_target,2801.3941350148,89.87391167630354,6028.8933333333,247.15325710983427,9348.6410666667,569.2014406165881,1.0,0.0,0.529719001415361,0.009158853515234985
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,high,High,0.0002,3,synthetic_target,2234.76432308,63.66068743738179,5614.92975,168.51358439306904,9464.035129999998,404.43260254336525,1.0,0.0,0.4049080867738197,0.0057251882881786675
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,low,Low,5e-05,3,synthetic_target,3187.6328167723677,133.37122059593676,6084.070413333302,163.48730266598668,7835.095682000002,572.6632505478245,1.0,0.0,0.6106800072557577,0.0039053751519022065
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,mid,Medium,0.0001,3,synthetic_target,2523.9173347450137,103.25513852588624,5300.980853333302,283.95163094618744,7640.948864000001,640.0353976710978,1.0,0.0,0.5255093882858963,0.011529965571828994
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,high,High,0.0002,3,synthetic_target,1982.552896890166,86.44999078513536,4862.966437,228.8382109018293,7575.315330300001,537.5263507140843,1.0,0.0,0.40021651181581513,0.009775207845090719
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.8,low,Low,5e-05,3,synthetic_target,3007.0531843640097,95.19145145048465,5694.159300000029,116.68629532640082,7086.862536666638,399.0534824963692,1.0,0.0,0.6105870765127946,0.011445793199406194
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.8,mid,Medium,0.0001,3,synthetic_target,2379.2659032995102,87.10901335682777,4943.119200000029,239.54978673127655,6838.820906666639,527.1708437965057,1.0,0.0,0.5239376680022646,0.018787101858069914
