parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
lmax,$L_{max}$,1.0,low,Low,avg_e2e_ms,Avg,3479.7030127159,137.214401121,3
lmax,$L_{max}$,1.0,low,Low,p95_ms,P95,6742.8245,168.1982981483,3
lmax,$L_{max}$,1.0,low,Low,p99_ms,P99,9263.7840466666,601.9728565309,3
lmax,$L_{max}$,1.0,mid,Medium,avg_e2e_ms,Avg,2732.5370625213,93.6864984936,3
lmax,$L_{max}$,1.0,mid,Medium,p95_ms,P95,5781.8133333333,257.6378708575,3
lmax,$L_{max}$,1.0,mid,Medium,p99_ms,P99,8752.3416,593.3478237931,3
lmax,$L_{max}$,1.0,high,High,avg_e2e_ms,Avg,2157.864784177,63.6606874374,3
lmax,$L_{max}$,1.0,high,High,p95_ms,P95,5314.818375,168.5135843931,3
lmax,$L_{max}$,1.0,high,High,p99_ms,P99,8682.25351,404.4326025434,3
lmax,$L_{max}$,2.0,low,Low,avg_e2e_ms,Avg,3320.2816226777,147.903222159,3
lmax,$L_{max}$,2.0,low,Low,p95_ms,P95,6235.6956666667,181.3007239368,3
lmax,$L_{max}$,2.0,low,Low,p99_ms,P99,7985.6752833333,648.8657488264,3
lmax,$L_{max}$,2.0,mid,Medium,avg_e2e_ms,Avg,2616.1474027472,109.8458920488,3
lmax,$L_{max}$,2.0,mid,Medium,p95_ms,P95,5387.3266666667,302.0762031342,3
lmax,$L_{max}$,2.0,mid,Medium,p99_ms,P99,7682.1173333333,695.6906496425,3
lmax,$L_{max}$,2.0,high,High,avg_e2e_ms,Avg,2043.997039018,77.8075068679,3
lmax,$L_{max}$,2.0,high,High,p95_ms,P95,4913.92175,205.9610475915,3
lmax,$L_{max}$,2.0,high,High,p99_ms,P99,7544.912025,494.3065142197,3
lmax,$L_{max}$,3.0,low,Low,avg_e2e_ms,Avg,3253.898806637,105.7682793894,3
lmax,$L_{max}$,3.0,low,Low,p95_ms,P95,6016.1897,129.6514392516,3
lmax,$L_{max}$,3.0,low,Low,p99_ms,P99,7665.738671,464.0156773214,3
lmax,$L_{max}$,3.0,mid,Medium,avg_e2e_ms,Avg,2569.7484323214,81.8851195273,3
lmax,$L_{max}$,3.0,mid,Medium,p95_ms,P95,5209.0713333333,225.1840787001,3
lmax,$L_{max}$,3.0,mid,Medium,p99_ms,P99,7357.9253866667,518.6057570062,3
lmax,$L_{max}$,3.0,high,High,avg_e2e_ms,Avg,2041.7547775152,68.5580197716,3
lmax,$L_{max}$,3.0,high,High,p95_ms,P95,4837.162275,181.4771111601,3
lmax,$L_{max}$,3.0,high,High,p99_ms,P99,7427.8589045,435.5450667841,3
lmax,$L_{max}$,4.0,low,Low,avg_e2e_ms,Avg,3164.2845466115,128.9857065725,3
lmax,$L_{max}$,4.0,low,Low,p95_ms,P95,5737.6666666667,158.1115112824,3
lmax,$L_{max}$,4.0,low,Low,p99_ms,P99,7009.1633333333,565.8727772212,3
lmax,$L_{max}$,4.0,mid,Medium,avg_e2e_ms,Avg,2504.6553258053,118.0338934374,3
lmax,$L_{max}$,4.0,mid,Medium,p95_ms,P95,4990.6666666667,324.5932069529,3
lmax,$L_{max}$,4.0,mid,Medium,p99_ms,P99,6797.4933333333,747.5479917704,3
lmax,$L_{max}$,4.0,high,High,avg_e2e_ms,Avg,1985.0096140759,73.7347441848,3
lmax,$L_{max}$,4.0,high,High,p95_ms,P95,4639.5,195.1802051951,3
lmax,$L_{max}$,4.0,high,High,p99_ms,P99,6875.31,468.4324924682,3
lmax,$L_{max}$,5.0,low,Low,avg_e2e_ms,Avg,3238.4566676331,179.9033259142,3
lmax,$L_{max}$,5.0,low,Low,p95_ms,P95,5998.3211,220.5266575723,3
lmax,$L_{max}$,5.0,low,Low,p99_ms,P99,7615.5076353333,789.253300785,3
lmax,$L_{max}$,5.0,mid,Medium,avg_e2e_ms,Avg,2558.484466344,122.8334091361,3
lmax,$L_{max}$,5.0,mid,Medium,p95_ms,P95,5194.1273333333,337.7918751243,3
lmax,$L_{max}$,5.0,mid,Medium,p99_ms,P99,7307.0579733333,777.9449245287,3
lmax,$L_{max}$,5.0,high,High,avg_e2e_ms,Avg,2030.9430029993,83.4662346401,3
lmax,$L_{max}$,5.0,high,High,p95_ms,P95,4836.500825,220.9400328709,3
lmax,$L_{max}$,5.0,high,High,p99_ms,P99,7409.386729,530.2560788902,3
rho_mass,$\rho_{mass}$,0.6,low,Low,avg_e2e_ms,Avg,3541.5344240057,121.01172722095968,3
rho_mass,$\rho_{mass}$,0.6,low,Low,p95_ms,P95,6947.8233333333,148.33695594827327,3
rho_mass,$\rho_{mass}$,0.6,low,Low,p99_ms,P99,9712.2788666666,530.8901581306624,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,avg_e2e_ms,Avg,2801.3941350148,89.87391167630354,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,p95_ms,P95,6028.8933333333,247.15325710983427,3
rho_mass,$\rho_{mass}$,0.6,mid,Medium,p99_ms,P99,9348.6410666667,569.2014406165881,3
rho_mass,$\rho_{mass}$,0.6,high,High,avg_e2e_ms,Avg,2234.76432308,63.66068743738179,3
rho_mass,$\rho_{mass}$,0.6,high,High,p95_ms,P95,5614.92975,168.51358439306904,3
rho_mass,$\rho_{mass}$,0.6,high,High,p99_ms,P99,9464.035129999998,404.43260254336525,3
rho_mass,$\rho_{mass}$,0.7,low,Low,avg_e2e_ms,Avg,3187.6328167723677,133.37122059593676,3
rho_mass,$\rho_{mass}$,0.7,low,Low,p95_ms,P95,6084.070413333302,163.48730266598668,3
rho_mass,$\rho_{mass}$,0.7,low,Low,p99_ms,P99,7835.095682000002,572.6632505478245,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,avg_e2e_ms,Avg,2523.9173347450137,103.25513852588624,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,p95_ms,P95,5300.980853333302,283.95163094618744,3
rho_mass,$\rho_{mass}$,0.7,mid,Medium,p99_ms,P99,7640.948864000001,640.0353976710978,3
rho_mass,$\rho_{mass}$,0.7,high,High,avg_e2e_ms,Avg,1982.552896890166,86.44999078513536,3
rho_mass,$\rho_{mass}$,0.7,high,High,p95_ms,P95,4862.966437,228.8382109018293,3
rho_mass,$\rho_{mass}$,0.7,high,High,p99_ms,P99,7575.315330300001,537.5263507140843,3
rho_mass,$\rho_{mass}$,0.8,low,Low,avg_e2e_ms,Avg,3007.0531843640097,95.19145145048465,3
rho_mass,$\rho_{mass}$,0.8,low,Low,p95_ms,P95,5694.159300000029,116.68629532640082,3
rho_mass,$\rho_{mass}$,0.8,low,Low,p99_ms,P99,7086.862536666638,399.0534824963692,3
rho_mass,$\rho_{mass}$,0.8,mid,Medium,avg_e2e_ms,Avg,2379.2659032995102,87.10901335682777,3
rho_mass,$\rho_{mass}$,0.8,mid,Medium,p95_ms,P95,4943.119200000029,239.54978673127655,3
rho_mass,$\rho_{mass}$,0.8,mid,Medium,p99_ms,P99,6838.820906666639,527.1708437965057,3
rho_mass,$\rho_{mass}$,0.8,high,High,avg_e2e_ms,Avg,1893.8484472299303,54.416241208392954,3
rho_mass,$\rho_{mass}$,0.8,high,High,p95_ms,P95,4613.8092074999995,144.04299143398114,3
rho_mass,$\rho_{mass}$,0.8,high,High,p99_ms,P99,6933.3558405,330.3385936885974,3
rho_mass,$\rho_{mass}$,0.9,low,Low,avg_e2e_ms,Avg,2810.9989578507375,133.40288997876883,3
rho_mass,$\rho_{mass}$,0.9,low,Low,p95_ms,P95,5147.403916666637,163.52612319978115,3
rho_mass,$\rho_{mass}$,0.9,low,Low,p99_ms,P99,5993.964769333306,548.4641581726191,3
rho_mass,$\rho_{mass}$,0.9,mid,Medium,avg_e2e_ms,Avg,2225.5611282812247,91.08409575771174,3
rho_mass,$\rho_{mass}$,0.9,mid,Medium,p95_ms,P95,4482.493166666637,250.48126333370726,3
rho_mass,$\rho_{mass}$,0.9,mid,Medium,p99_ms,P99,5834.581205333306,540.6057950114855,3
rho_mass,$\rho_{mass}$,0.9,high,High,avg_e2e_ms,Avg,1754.7904471503873,61.89233500856548,3
rho_mass,$\rho_{mass}$,0.9,high,High,p95_ms,P95,4140.37386875,163.83265149326155,3
rho_mass,$\rho_{mass}$,0.9,high,High,p99_ms,P99,5845.946189399999,368.4830378728439,3
rho_mass,$\rho_{mass}$,1.0,low,Low,avg_e2e_ms,Avg,2679.188222428212,137.24074441603733,3
rho_mass,$\rho_{mass}$,1.0,low,Low,p95_ms,P95,4789.51538,168.23058992933628,3
rho_mass,$\rho_{mass}$,1.0,low,Low,p99_ms,P99,5301.196340400001,563.8053479347639,3
rho_mass,$\rho_{mass}$,1.0,mid,Medium,avg_e2e_ms,Avg,2121.0418733987917,101.92700183111452,3
rho_mass,$\rho_{mass}$,1.0,mid,Medium,p95_ms,P95,4170.10272,280.29925503556467,3
rho_mass,$\rho_{mass}$,1.0,mid,Medium,p99_ms,P99,5158.9091808,604.4919299348171,3
rho_mass,$\rho_{mass}$,1.0,high,High,avg_e2e_ms,Avg,1677.724546469048,72.19829296370595,3
rho_mass,$\rho_{mass}$,1.0,high,High,p95_ms,P95,3866.627244500001,191.11312843333934,3
rho_mass,$\rho_{mass}$,1.0,high,High,p99_ms,P99,5200.742445659999,429.50742390105495,3
tau_p,$\tau_p$,0.02,low,Low,avg_e2e_ms,Avg,3293.9595098298,116.0871359152,3
tau_p,$\tau_p$,0.02,low,Low,p95_ms,P95,6199.1396666667,142.3003601541,3
tau_p,$\tau_p$,0.02,low,Low,p99_ms,P99,8016.1529733333,509.2854994991,3
tau_p,$\tau_p$,0.02,mid,Medium,avg_e2e_ms,Avg,2614.8182622085,89.8739116763,3
tau_p,$\tau_p$,0.02,mid,Medium,p95_ms,P95,5415.0133333333,247.1532571098,3
tau_p,$\tau_p$,0.02,mid,Medium,p99_ms,P99,7800.6925333333,569.2014406166,3
tau_p,$\tau_p$,0.02,high,High,avg_e2e_ms,Avg,2095.9324842178,75.2466070664,3
tau_p,$\tau_p$,0.02,high,High,p95_ms,P95,5111.7415,199.1821951757,3
tau_p,$\tau_p$,0.02,high,High,p99_ms,P99,8070.35092,478.0372684216,3
tau_p,$\tau_p$,0.05,low,Low,avg_e2e_ms,Avg,3194.8502440827,141.8842772297,3
tau_p,$\tau_p$,0.05,low,Low,p95_ms,P95,5853.2392666667,173.9226624106,3
tau_p,$\tau_p$,0.05,low,Low,p99_ms,P99,7196.1169183333,622.4600549433,3
tau_p,$\tau_p$,0.05,mid,Medium,avg_e2e_ms,Avg,2533.4798110182,129.8372827812,3
tau_p,$\tau_p$,0.05,mid,Medium,p95_ms,P95,5115.3493333333,357.0525276482,3
tau_p,$\tau_p$,0.05,mid,Medium,p99_ms,P99,7051.3554666667,822.3027909475,3
tau_p,$\tau_p$,0.05,high,High,avg_e2e_ms,Avg,2002.6957832836,81.1082186033,3
tau_p,$\tau_p$,0.05,high,High,p95_ms,P95,4744.0173,214.6982257146,3
tau_p,$\tau_p$,0.05,high,High,p99_ms,P99,7107.266255,515.2757417151,3
tau_p,$\tau_p$,0.1,low,Low,avg_e2e_ms,Avg,3164.2845466115,125.0175654658,3
tau_p,$\tau_p$,0.1,low,Low,p95_ms,P95,5737.6666666667,153.2473383129,3
tau_p,$\tau_p$,0.1,low,Low,p99_ms,P99,7009.1633333333,548.4641581726,3
tau_p,$\tau_p$,0.1,mid,Medium,avg_e2e_ms,Avg,2504.6553258053,85.3588097387,3
tau_p,$\tau_p$,0.1,mid,Medium,p95_ms,P95,4990.6666666667,234.7367267813,3
tau_p,$\tau_p$,0.1,mid,Medium,p99_ms,P99,6797.4933333333,540.6057950115,3
