label,runs,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,hpwp_lmax_low,hpwp_lmax_high,hpwp_beta_hi,hpwp_beta_lo,hpwp_alpha_exp,hpwp_alpha_stable,hpwp_sched_eta_exec,hpwp_sched_min_sec,hpwp_sched_max_sec,hpwp_horizon_alpha,hpwp_urgency_epsilon_ms,hpwp_phase_window_k,hpwp_phase_n_min,hpwp_phase_var_threshold,hpwp_drift_short_k,hpwp_drift_long_k,hpwp_drift_delta_mr,hpwp_drift_tau_mr,hpwp_drift_branch_tau,hpwp_forget_gamma,hpwp_default_exec_ms,hpwp_default_cold_ms,hpwp_default_trans_ms,hpwp_seed_offset,hpwp_rho_mass,hpwp_tau_p,status
hpwp_29,3,2902.9444594788497,242.6590760299846,2597.8333333333335,182.06615098181575,5633.833333333331,479.7346071874867,7428.593333333327,563.0059581685823,1.0,0.0,0.4282947074131564,0.015074936144505151,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.7,0.012,ok
hpwp_35,3,2919.110450952968,188.82955367100138,2647.5,124.03930828572045,5654.05,503.9653286685499,7353.083333333329,617.7058711339396,1.0,0.0,0.42330606075352945,0.014274788185246702,2.0,4.0,60.0,10.0,0.8,0.08,0.85,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.55,0.008,ok
hpwp_20,3,2919.5554111695765,191.69935934291343,2650.6666666666665,133.09520402078107,5574.483333333334,435.3240067275558,7330.153333333328,594.4894832823674,1.0,0.0,0.4234722092821072,0.009190229907593267,2.0,4.0,60.0,10.0,0.8,0.08,0.675,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.55,0.008,ok
hpwp_21,3,2928.691040652693,186.66398122419096,2641.1666666666665,137.32837774230543,5562.933333333333,413.957562237161,7347.979999999993,549.7166146297523,1.0,0.0,0.4213401143055922,0.002485469387708855,2.0,4.0,60.0,10.0,0.8,0.08,0.85,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.6,0.024,ok
hpwp_08,3,2933.379831819591,155.21906386191492,2636.5,70.04105938661979,5533.116666666666,396.3504015808897,7308.096666666664,862.3813153317549,1.0,0.0,0.4307687231539159,0.009942380500902145,2.0,4.0,60.0,10.0,0.8,0.08,0.575,1.0,15.0,2.625,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.55,0.012,ok
hpwp_12,3,2933.853612237263,198.67124815616097,2647.3333333333335,89.89067434018577,5626.449999999998,539.5358213316327,7155.113333333335,931.2207399609139,1.0,0.0,0.42862558399838074,0.014843143269330976,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,4.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.55,0.024,ok
hpwp_34,3,2934.1587392881197,181.9414830999717,2647.0,127.35383779062177,5682.5999999999985,469.19591856707325,7292.939999999996,434.36152085561656,1.0,0.0,0.4244382063658245,0.017210543633629314,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.45,0.016,ok
hpwp_31,3,2936.0488950976783,193.8333705863724,2637.1666666666665,162.9434973643727,5637.616666666666,474.7418517819262,7424.186666666667,614.4733564063959,1.0,0.0,0.4272669873398234,0.01575911235210675,2.0,4.0,60.0,10.0,0.8,0.08,0.575,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.55,0.024,ok
hpwp_16,3,2938.9194916569263,191.83228329087316,2645.5,123.14726955966178,5598.099999999999,405.08111533370726,7640.7666666666655,796.5995815548329,1.0,0.0,0.4236315939255661,0.009163950091972115,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.008,ok
hpwp_25,3,2943.80639852613,182.5079343086703,2653.1666666666665,101.88269398348933,5594.766666666666,440.1415719212779,7459.219999999997,545.0622158983273,1.0,0.0,0.42780491975802254,0.006969066743156942,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.7,0.012,ok
